Núm_corre,Año_ocu,Día_ocu,Hora_ocu,g_hora,g_hora_5,Mes_ocu,día_sem_ocu,depto_ocu,mupio_ocu,zona_ocu,sexo_per,edad_per,g_edad_80ymás,g_edad_60ymás,edad_quinquenales,estado_con,mayor_menor,tipo_veh,marca_veh,color_veh,modelo_veh,g_modelo_veh,tipo_eve
224,2020,12,19,4,3,1,7,19,1901,99,1,24,3,3,5,9,1,4,67,5,2016,5,6
225,2020,12,15,3,2,1,7,5,509,99,1,30,5,5,7,9,1,5,28,2,9999,99,1
226,2020,12,15,3,2,1,7,5,509,99,1,22,3,3,5,9,1,4,103,2,9999,99,1
227,2020,12,20,4,3,1,7,5,509,99,2,18,2,2,4,1,1,4,190,5,9999,99,1
228,2020,12,20,4,3,1,7,5,509,99,1,19,2,2,4,2,1,4,67,5,9999,99,1
229,2020,12,4,1,1,1,7,6,608,99,1,999,16,12,18,9,1,4,999,5,9999,99,1
230,2020,12,4,1,1,1,7,6,608,99,1,999,16,12,18,9,1,3,17,10,9999,99,1
231,2020,12,19,4,3,1,7,10,1002,99,1,35,6,6,8,1,1,3,41,2,2009,4,1
232,2020,12,19,4,3,1,7,10,1002,99,1,40,7,7,9,1,1,4,6,99,2013,5,1
233,2020,12,19,4,3,1,7,10,1002,99,1,22,3,3,5,1,1,3,56,2,2003,4,1
234,2020,12,14,3,2,1,7,11,1101,99,1,47,8,8,10,2,1,1,48,2,9999,99,1
235,2020,12,14,3,2,1,7,11,1101,99,1,43,7,7,9,1,1,4,999,5,9999,99,1
236,2020,12,17,3,2,1,7,11,1101,99,1,24,3,3,5,1,1,4,999,5,9999,99,1
237,2020,12,17,3,2,1,7,11,1101,99,1,29,4,4,6,1,1,4,999,3,2019,5,1
238,2020,12,5,1,1,1,7,12,1201,99,1,34,5,5,7,2,1,3,56,11,2001,4,1
239,2020,12,5,1,1,1,7,12,1201,99,1,999,16,12,18,9,1,4,6,5,9999,99,1
240,2020,12,22,4,3,1,7,2,203,99,1,24,3,3,5,1,1,4,67,4,9999,99,1
241,2020,12,22,4,3,1,7,2,203,99,2,22,3,3,5,1,1,4,27,1,9999,99,1
242,2020,12,18,4,3,1,7,18,1803,99,1,45,8,8,10,1,1,6,19,3,2000,4,1
243,2020,12,18,4,3,1,7,18,1803,99,1,25,4,4,6,2,1,3,69,9,1992,3,1
244,2020,12,0,1,1,1,7,14,1412,99,1,23,3,3,5,1,1,2,69,6,2012,5,1
245,2020,12,0,1,1,1,7,14,1412,99,1,999,16,12,18,1,1,22,6,99,2012,5,1
246,2020,12,0,1,1,1,7,14,1412,99,2,30,5,5,7,1,1,4,67,5,9999,99,1
247,2020,12,12,3,2,1,7,4,409,99,1,999,16,12,18,2,1,1,28,9,1987,2,2
248,2020,13,3,1,1,1,1,1,101,12,1,16,2,2,4,1,2,1,73,2,1996,3,1
249,2020,13,3,1,1,1,1,1,101,12,1,34,5,5,7,1,1,4,67,5,9999,99,1
250,2020,13,0,1,1,1,1,21,2101,99,1,37,6,6,8,1,1,1,999,4,9999,99,1
251,2020,13,14,3,2,1,1,1,101,1,1,32,5,5,7,9,1,11,10,2,2018,5,1
252,2020,13,14,3,2,1,1,1,101,1,1,26,4,4,6,1,1,4,6,1,2020,6,1
253,2020,13,9,2,1,1,1,18,1801,99,1,39,6,6,8,9,1,6,40,2,9999,99,1
254,2020,13,9,2,1,1,1,18,1801,99,1,65,12,11,14,9,1,4,77,5,9999,99,1
255,2020,13,12,3,2,1,1,1,117,99,1,39,6,6,8,9,1,1,48,4,9999,99,1
256,2020,13,12,3,2,1,1,1,117,99,1,17,2,2,4,9,2,4,32,1,9999,99,1
257,2020,13,7,2,1,1,1,6,601,99,1,52,9,9,11,1,1,5,26,2,2010,5,1
